"caseid","age","birthyr","gender","race"
392122199,52,1966,2,1
392121850,63,1955,2,1
392110375,56,1962,1,1
392126706,32,1986,2,1
392079545,47,1971,2,1
392122632,71,1947,1,1
392117724,69,1949,1,1
392098928,51,1967,1,1
392126863,63,1955,1,1
392086613,29,1989,1,1
392122732,81,1937,2,1
392088580,51,1967,2,3
392105941,49,1969,2,1
392116633,74,1944,2,1
392091120,68,1950,2,1
392122341,74,1944,1,1
392122967,58,1960,2,1
392114590,75,1943,2,1
392126694,53,1965,2,1
392122089,64,1954,2,1
392122522,89,1929,2,1
392117552,89,1929,2,1
392127088,25,1993,2,1
392122641,74,1944,2,1
392126954,63,1955,2,1
392095729,63,1955,2,1
392112641,68,1950,1,1
392122757,69,1949,2,1
392029143,45,1973,1,1
392116978,61,1957,1,1
392127044,56,1962,2,1
392095746,55,1963,1,1
392130098,35,1983,1,1
392116780,54,1964,1,1
391708002,70,1948,2,1
392081386,53,1965,1,1
392037204,58,1960,1,1
392119343,57,1961,2,7
392126845,80,1938,1,1
392106867,67,1951,2,1
392117563,49,1969,2,1
392095249,63,1955,2,1
391588973,77,1941,1,1
392108888,39,1979,1,1
392127007,63,1955,2,6
392079379,74,1944,1,1
392091461,49,1969,1,1
392113410,59,1959,2,1
392099084,74,1944,1,1
392060518,61,1957,2,1
392122067,41,1977,2,4
392130068,57,1961,1,1
392114174,58,1960,1,6
392122827,67,1951,2,1
392116800,79,1939,1,1
392116888,59,1959,2,1
392095145,64,1954,2,1
392122065,86,1932,1,1
392106393,72,1946,1,1
392126614,34,1984,2,2
391565912,72,1946,1,1
392116409,79,1939,1,1
392122882,38,1980,2,1
392130347,34,1984,2,2
392045493,69,1949,2,1
392090904,63,1955,1,3
392071932,37,1981,2,1
392057683,63,1955,2,1
392122121,64,1954,2,1
392045119,71,1947,2,1
392119157,31,1987,2,1
392130379,43,1975,2,1
392117194,74,1944,1,1
392090712,83,1935,2,1
392130417,38,1980,1,1
392090803,48,1970,2,1
392109296,41,1977,1,6
392130244,24,1994,2,6
392112978,35,1983,2,4
391609722,81,1937,1,1
392130407,47,1971,2,1
392122376,61,1957,2,1
391556279,68,1950,2,2
392095718,68,1950,2,1
392037221,41,1977,2,6
392086625,66,1952,2,1
392121821,67,1951,2,1
392047384,72,1946,2,1
392116868,46,1972,2,1
392122119,65,1953,1,1
392117003,73,1945,2,1
392032057,76,1942,2,1
392103483,70,1948,1,1
392112398,34,1984,2,1
392113395,71,1947,1,1
392130676,47,1971,2,3
392127687,61,1957,1,1
392121969,65,1953,1,1
392091053,83,1935,2,1
392130352,61,1957,2,2
392099496,51,1967,1,1
392091002,57,1961,2,1
392127513,34,1984,2,1
392130742,25,1993,2,4
392117637,76,1942,1,1
392122317,46,1972,1,1
392127601,64,1954,1,1
392127492,73,1945,1,1
392051101,37,1981,1,1
392122085,72,1946,1,1
392130399,45,1973,2,1
392117741,74,1944,1,1
